batch_size,learning_rate,optimizer,step_size,gamma,architecture_choice,val_loss
512,0.002248190592133436,AdamW,4,0.5368499727839124,0,0.0001414505188349206
512,0.0008112496742516133,AdamW,3,0.5165838956356547,0,0.0003258793746335688
512,0.00022090009465618605,AdamW,6,0.10228085378870344,1,0.0015500760891386071
512,0.00573990760415365,AdamW,4,0.6633561739013746,0,0.00019292909604273827
1024,0.0028762739679485403,Adam,5,0.5707570711863413,1,0.0003248555690649115
512,0.0016137876009510548,AdamW,7,0.48901996630355465,2,8.476916637004533e-05
2048,0.0013790573626676227,Adam,7,0.4647736581886205,2,0.00044743531562970357
1024,0.0010422673820914728,AdamW,7,0.5180791121667044,3,0.00026070615025641265
512,0.00038755048524847743,SGD,8,0.4550974628327494,4,0.0028202954118976145
512,0.001768706512540679,Adam,9,0.49440370801841804,2,9.968992340445682e-05
512,0.0016051426486014628,Adam,9,0.5021085864912108,2,0.00012108106791894002
512,0.001522540549687229,Adam,9,0.49496279524208187,2,0.00010809033531842302
512,0.0008107931701496511,Adam,9,0.494825258816085,2,0.00014904284170864557
1024,9.437853999559296e-05,Adam,9,0.4205677999938839,3,0.0010848028067474969
512,0.0015085275644690897,Adam,9,0.3575067776369584,2,0.00010246240484999725
2048,0.0010469969030115398,Adam,10,0.34471904199417835,2,0.00043764882125294467
512,0.0016122860287941826,Adam,9,0.4314845554968379,3,0.00010625911066533672
512,0.0005479561546963456,Adam,8,0.30339721303775974,3,0.00015903162173501375
512,0.00028324951086377046,Adam,9,0.37272659420081206,3,0.00023421206056192405
1024,0.0014764988426669474,Adam,8,0.2656720764142251,2,0.00023640561445222486
512,0.003655569989562037,Adam,10,0.42649093599751037,3,0.0001232272263089785
512,0.0017210671923554809,Adam,9,0.466166951172428,2,9.879729865246492e-05
512,0.0009800412076038203,Adam,9,0.47068496628872997,2,0.00012914458993352616
512,0.0016918054348126618,Adam,8,0.4414121168906237,2,0.00010563856853722329
512,0.0006566693980553772,Adam,8,0.42244169406054655,2,0.00017196283124061768
512,0.0017345880362180839,Adam,8,0.38046533515912495,3,9.716114319425055e-05
512,0.0026953710355351636,Adam,7,0.3544616355057405,2,7.937946199596984e-05
512,0.0023187039827315807,Adam,7,0.36122209495865004,2,9.172441481883036e-05
512,0.0023291777372053324,Adam,7,0.30668122548888876,2,9.335178385063033e-05
2048,0.0024998044163048925,Adam,7,0.3045726797638838,3,0.00034417719214215053
512,0.0031408420842602867,Adam,7,0.21879670155184752,2,9.082605154010137e-05
512,0.005967235526556367,Adam,7,0.19583105570946863,2,0.00011084223855355489
512,0.003422807771633787,Adam,7,0.2720856523670639,2,8.165823509359213e-05
512,0.0035232408370915167,Adam,7,0.2376741128061206,3,0.00010189230960638711
512,0.0024248564037407556,Adam,6,0.28520266471335565,2,0.00011089030092574769
512,0.0047364955011357495,Adam,7,0.17630079918897126,1,0.00012464255193015919
512,0.008053385140594758,Adam,7,0.33186579904290286,3,9.754090384789909e-05
512,0.003116236357974564,SGD,6,0.23830468498481952,2,0.0007733993926804922
512,0.005190275700507392,Adam,8,0.13415509459069389,1,0.00010821429603289201
512,0.002124410359628528,Adam,6,0.373719927632413,2,9.494012018643652e-05
512,0.0020818519908477966,Adam,6,0.3915383042101919,2,0.0001005648127699973
512,0.003659604174276624,Adam,7,0.3663112883452613,2,6.802388286622302e-05
512,0.006993332363997067,Adam,7,0.3218024118388736,2,8.181815134201441e-05
512,0.006968530077084018,Adam,7,0.3245508195297937,2,7.872839137298705e-05
512,0.007074175628135827,Adam,7,0.2670390670350845,1,0.0001064133995380782
1024,0.006647179036766062,SGD,7,0.32654241643330995,2,0.0006260526199915431
512,0.009290224766359297,Adam,7,0.23705409271648392,2,8.854229998499127e-05
2048,0.009989560396583866,Adam,6,0.2365046537081977,1,0.0005613329932250304
512,0.003893694669697968,Adam,8,0.21165813745685308,2,7.936519772085436e-05
512,0.008260872642333892,Adam,8,0.1729836880343302,2,0.00010323350546943534
512,0.003641786006099136,Adam,7,0.2121592617711796,2,8.757343177364347e-05
512,0.003922828455970168,Adam,7,0.2829775579463014,2,8.111107351612738e-05
512,0.003975822462715979,Adam,8,0.28180741377319823,2,8.507201712226555e-05
512,0.0042041541044972805,Adam,8,0.2791949566195399,2,7.87111418239246e-05
512,0.004888134431858062,Adam,8,0.28677894127240056,2,9.657902920288441e-05
512,0.006304655896385098,Adam,6,0.32991103058567783,1,0.00012459107007907903
512,0.005323590020380831,SGD,8,0.2584164829209227,2,0.0004921973779203146
1024,0.004465754533248346,Adam,7,0.40264645289635986,2,0.00014818962695008447
512,0.0029273738938861648,Adam,8,0.3405258611522241,2,8.254184280346177e-05
512,3.0303120104688362e-05,Adam,8,0.3518703109724294,2,0.0015281443418719734
512,0.0028045017165241044,Adam,8,0.31454895461807414,2,0.00010279208805278902
512,0.003997545559421134,Adam,7,0.2903984468822418,2,7.297215366373428e-05
512,0.0040503180798518185,Adam,7,0.29690863863545197,2,8.245756417434068e-05
512,0.007247775782285975,Adam,6,0.28676133981491175,2,0.00011194044445477962
512,0.004067358652295291,Adam,7,0.2630439975024595,2,8.014809100908312e-05
512,0.003404226792613133,Adam,7,0.14998506572256934,2,9.887444956927253e-05
2048,0.0056770626577106464,Adam,6,0.2504563026372742,1,0.0005713936965246974
512,0.004153279161832354,Adam,5,0.8834729115663598,2,0.00010985856625496575
512,0.00014209188414436482,Adam,7,0.19141995929964356,2,0.0009600676333029239
